Id2,TRACT,BEDROOMS,meanBEDROOMS,totalHouseholds,meanHSize,totalFamilies,meanFamSize,totalAdults,married,neverMarried,totalHispanics,marriedHispanics,totalWhites,marriedWhites,workingMales,workingFemales,percent_nobachelor,percent_bachelor,percent_graduate,percent_bachelorPlus,percent_below_poverty,total_below_povertyPlus,households_1decile,households_2decile,households_3decile,households_4decile,households_5decile,households_6decile,households_7decile,households_8decile,households_9decile,households_topdecile,households_medianIncome,households_meanIncome,meanV
6037572301,5723.01,2353,2.393692777,971,3.94,798.0,4.17,2331.0,43.9,44.8,1780.0,44.9,181.0,12.2,1168.0,872.0,22.5,10.0,3.3,13.3,18.2,1780.0,4.7,3.3,14.5,9.3,17.4,19.7,10.7,12.6,3.6,4.2,50457.0,67296.0,5.7730869270000005
6037572302,5723.02,2158,2.452272727,838,4.43,677.0,4.92,2153.0,38.5,46.5,1169.0,32.9,127.0,18.1,1002.0,830.0,29.1,11.7,2.1,13.7,17.8,1405.0,2.4,3.2,14.4,10.6,17.7,10.9,19.1,13.5,6.2,2.0,54167.0,68534.0,5.513024699
6037572400,5724.0,938,3.179661017,283,4.3,238.0,4.68,756.0,34.5,47.3,181.0,50.3,117.0,47.0,256.0,244.0,20.6,15.2,4.1,19.3,21.3,567.0,1.4,4.6,14.5,20.5,9.2,8.5,21.6,12.7,4.6,2.5,49688.0,68828.0,5.841743967
6037572500,5725.0,2365,1.8935148119999998,1191,2.52,705.0,3.43,1693.0,26.4,45.4,326.0,31.3,292.0,22.9,422.0,562.0,27.5,10.3,2.4,12.8,38.2,1963.0,17.7,19.8,17.7,19.6,5.1,9.6,9.2,0.6,0.0,0.8,20525.0,30851.0,5.755949257
6037572700,5727.0,3596,2.596389892,1332,4.2,1173.0,4.48,3747.0,40.0,37.6,1389.0,45.2,186.0,24.2,1324.0,1261.0,28.1,14.0,2.8,16.8,17.2,2718.0,4.0,5.0,7.2,16.0,14.6,24.5,15.4,11.3,1.4,0.8,54035.0,60290.0,5.727235782
6037572900,5729.0,2716,2.090839107,1263,4.35,1160.0,4.4,3121.0,40.8,44.2,2470.0,42.4,163.0,51.5,1390.0,1103.0,21.3,6.8,3.1,9.9,30.2,3260.0,7.6,12.4,11.8,16.1,14.0,15.7,5.2,6.5,7.6,3.2,36206.0,57073.0,5.720303652999999
6037573002,5730.02,1923,1.6025,1066,3.51,749.0,4.12,2013.0,28.9,58.0,1858.0,25.8,251.0,72.1,1039.0,623.0,25.1,5.3,1.6,6.9,46.8,2801.0,11.5,13.5,23.7,14.3,10.9,11.4,6.9,7.2,0.6,0.0,25516.0,38033.0,5.715994481
6037573003,5730.03,1306,1.978787879,605,3.33,365.0,4.28,1220.0,31.8,46.6,636.0,37.6,316.0,16.5,583.0,462.0,18.9,10.8,9.8,20.6,28.4,862.0,9.8,2.3,17.2,3.3,12.7,19.8,8.4,14.0,8.8,3.6,55434.0,71981.0,5.58935702
6037573004,5730.04,2620,1.579264617,1530,2.89,968.0,3.62,2466.0,22.8,60.4,1862.0,27.6,421.0,19.5,997.0,990.0,24.6,6.7,5.6,12.3,35.8,2940.0,19.3,9.7,17.3,15.0,12.1,15.2,4.1,4.4,1.4,1.4,26687.0,38368.0,5.68175766
6037573100,5731.0,5059,2.004358162,2400,3.13,1735.0,3.77,4913.0,47.4,38.6,3167.0,48.1,560.0,55.2,2300.0,1744.0,19.9,14.1,5.6,19.6,13.8,3031.0,1.9,6.6,12.2,12.7,8.2,34.3,7.3,8.4,6.5,1.9,52799.0,63159.0,5.781330102999999
6037573202,5732.02,3665,2.135780886,1667,3.95,1224.0,4.67,3826.0,39.0,46.8,2684.0,47.2,372.0,39.8,1859.0,1293.0,22.6,4.8,4.0,8.7,27.2,4185.0,8.1,8.4,10.2,12.2,19.8,22.4,8.9,6.5,2.4,1.1,40286.0,50365.0,5.656360492999999
6037573300,5733.0,2469,2.288229842,1033,4.18,821.0,4.59,2357.0,30.4,54.4,1371.0,38.0,109.0,0.0,730.0,983.0,25.1,4.9,2.3,7.2,38.2,3131.0,8.9,8.1,22.7,18.1,9.8,15.6,8.8,7.4,0.0,0.7,30444.0,42408.0,5.796877962999999
6037573401,5734.01,1113,2.084269663,509,2.82,316.0,3.8,873.0,39.9,42.6,333.0,37.2,294.0,39.1,362.0,345.0,33.7,16.5,6.8,23.3,14.1,482.0,8.4,6.3,5.7,8.6,11.6,16.5,17.1,16.7,7.7,1.4,65592.0,70847.0,5.802588879
6037573402,5734.02,4902,2.094871795,2275,2.9,1595.0,3.44,3865.0,37.5,50.6,1820.0,39.9,1430.0,35.8,1659.0,1832.0,24.6,20.2,6.8,27.0,22.0,2996.0,7.2,4.9,11.1,9.1,18.8,19.3,15.0,7.4,2.9,4.4,48776.0,63252.0,5.79442658
6037573403,5734.03,3572,2.728800611,1244,2.7,833.0,3.0,2362.0,51.9,34.7,542.0,49.4,1223.0,51.5,1251.0,735.0,15.0,31.9,21.7,53.6,11.7,590.0,3.4,2.5,7.3,1.4,10.4,8.7,17.2,24.7,10.4,14.1,99491.0,115295.0,5.836076277
6037573601,5736.01,6529,2.823961938,2312,2.62,1488.0,3.3,4186.0,56.2,25.6,970.0,52.2,3073.0,54.1,1736.0,1388.0,27.3,20.9,16.5,37.4,5.1,660.0,3.6,2.8,9.3,2.2,9.0,9.2,13.7,26.1,10.4,13.7,100156.0,113249.0,5.8034239229999995
6037573700,5737.0,5165,2.932992618,1714,2.87,1346.0,3.26,3524.0,58.3,25.7,908.0,48.6,2478.0,64.4,1357.0,1203.0,25.3,23.7,18.4,42.1,4.3,507.0,0.5,1.7,6.6,2.0,8.2,15.3,15.4,25.1,13.5,11.6,100294.0,112363.0,5.8030864929999995
6037573800,5738.0,4721,3.0438426819999997,1479,2.95,1233.0,3.2,2955.0,55.5,29.7,580.0,57.8,2389.0,57.8,1107.0,1097.0,35.1,21.2,11.4,32.6,7.6,563.0,3.7,1.5,3.3,4.5,6.4,14.4,18.7,31.0,13.7,2.9,96883.0,99525.0,5.792174527
6037573902,5739.02,2807,3.1258351889999996,845,2.53,545.0,3.29,1483.0,54.2,30.0,190.0,60.0,1035.0,58.8,564.0,595.0,18.4,26.2,30.5,56.7,2.0,291.0,2.6,2.2,5.3,7.9,6.5,11.4,9.7,26.7,11.2,16.3,108299.0,144337.0,5.716264122999999
6037574000,5740.0,6057,3.063732929,1906,2.92,1492.0,3.24,3890.0,54.7,29.6,950.0,51.8,3063.0,57.5,1509.0,1371.0,29.2,25.9,17.0,43.0,3.7,397.0,2.8,1.3,3.9,3.3,5.9,10.1,13.2,31.0,14.4,14.2,116200.0,121560.0,5.790079839
6037574100,5741.0,5531,2.8466289239999996,1902,2.76,1389.0,3.22,3686.0,54.7,28.5,745.0,51.4,2925.0,59.0,1382.0,1338.0,22.3,29.5,13.8,43.3,5.1,656.0,3.3,1.1,3.6,6.3,11.5,14.5,15.5,23.4,13.9,7.0,90294.0,103385.0,5.8273969
6037574201,5742.01,3398,3.0667870039999996,1078,2.83,799.0,3.37,2024.0,60.7,27.3,564.0,58.5,1463.0,59.4,839.0,703.0,32.8,23.2,15.3,38.5,4.1,510.0,4.3,0.6,3.7,7.8,9.3,19.0,10.0,23.4,14.0,7.9,93333.0,101021.0,5.750125051
6037574202,5742.02,1749,2.3413654619999997,715,2.57,424.0,3.19,1580.0,31.9,39.6,510.0,30.4,1081.0,36.0,461.0,521.0,34.8,14.0,8.1,22.1,11.7,582.0,4.3,8.1,9.1,5.9,13.7,20.6,12.7,16.5,2.1,7.0,65036.0,73688.0,5.898734207
6037574300,5743.0,6828,3.007929515,2231,2.73,1703.0,3.14,4310.0,44.1,34.6,681.0,49.2,3266.0,48.2,1433.0,1556.0,27.7,24.8,9.8,34.6,8.9,1205.0,4.6,0.9,5.3,13.4,6.2,18.6,17.2,17.7,10.1,6.1,76108.0,90014.0,5.793621166
6037574400,5744.0,6123,3.138390569,1903,2.79,1465.0,3.2,3735.0,59.6,24.6,737.0,53.6,2893.0,59.7,1489.0,1279.0,25.4,25.9,18.9,44.8,3.4,689.0,1.4,3.6,3.9,5.5,6.4,15.0,15.9,18.7,16.8,12.7,96595.0,113329.0,5.749772745
6037574500,5745.0,7779,3.3530172410000003,2181,2.81,1536.0,3.24,4369.0,51.4,27.5,561.0,43.5,3849.0,50.5,1652.0,1517.0,22.8,31.4,18.5,49.9,9.7,1145.0,2.4,2.2,4.8,6.0,6.0,16.2,14.6,22.1,15.8,9.9,93555.0,108348.0,5.869177618999999
